Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1659909,40VHR015_DD,WGS,252,3090286836,PRJEB15516,SAMEA4465566,1198246130,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR015_DD,ERC000011,2016-09-29,2018-11-16,ERX1730227,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR015_DD,PAIRED,RANDOM,GENOMIC,3090,1142,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465566,ERS1364745,ERS1364745,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659910,41VHR015_BLEDD,WGS,252,3113353656,PRJEB15516,SAMEA4465567,1216658016,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR015_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730228,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR015_BLEDD,PAIRED,RANDOM,GENOMIC,3113,1160,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465567,ERS1364746,ERS1364746,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659911,42VHR016_DD,WGS,252,4204110204,PRJEB15516,SAMEA4465568,1661879714,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR016_DD,ERC000011,2016-09-29,2018-11-16,ERX1730229,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR016_DD,PAIRED,RANDOM,GENOMIC,4204,1584,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465568,ERS1364747,ERS1364747,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659912,43VHR016_BLEDD,WGS,252,1344653856,PRJEB15516,SAMEA4465569,533252893,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR016_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730230,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR016_BLEDD,PAIRED,RANDOM,GENOMIC,1344,508,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465569,ERS1364748,ERS1364748,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659914,45VHR036_BLEDD,WGS,252,1638182700,PRJEB15516,SAMEA4465571,648368598,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR036_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730232,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR036_BLEDD,PAIRED,RANDOM,GENOMIC,1638,618,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465571,ERS1364750,ERS1364750,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659915,46VHR037_DD,WGS,252,854036568,PRJEB15516,SAMEA4465572,281808799,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR037_DD,ERC000011,2016-09-29,2018-11-16,ERX1730233,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR037_DD,PAIRED,RANDOM,GENOMIC,854,268,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465572,ERS1364751,ERS1364751,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659917,48VHR045_DD,WGS,252,549896256,PRJEB15516,SAMEA4465575,181334644,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR045_DD,ERC000011,2016-09-29,2018-11-16,ERX1730235,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR045_DD,PAIRED,RANDOM,GENOMIC,549,172,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465575,ERS1364754,ERS1364754,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659918,49VHR045_BLEDD,WGS,252,1478023848,PRJEB15516,SAMEA4465576,579738336,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR045_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730236,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR045_BLEDD,PAIRED,RANDOM,GENOMIC,1478,552,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465576,ERS1364755,ERS1364755,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659913,44VHR036_DD,WGS,252,742966560,PRJEB15516,SAMEA4465570,248500174,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR036_DD,ERC000011,2016-09-29,2018-11-16,ERX1730231,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR036_DD,PAIRED,RANDOM,GENOMIC,742,236,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465570,ERS1364749,ERS1364749,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659916,47VHR037_BLEDD,WGS,252,3152908332,PRJEB15516,SAMEA4465573,1223999541,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR037_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730234,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR037_BLEDD,PAIRED,RANDOM,GENOMIC,3152,1167,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465573,ERS1364752,ERS1364752,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659920,51VHR062_BLEDD,WGS,252,3021582564,PRJEB15516,SAMEA4465578,1225480638,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR062_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730238,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR062_BLEDD,PAIRED,RANDOM,GENOMIC,3021,1168,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465578,ERS1364757,ERS1364757,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659922,53VHR064_BLEDD,WGS,252,999969264,PRJEB15516,SAMEA4465580,389653472,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR064_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730240,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR064_BLEDD,PAIRED,RANDOM,GENOMIC,999,371,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465580,ERS1364759,ERS1364759,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659919,50VHR062_DD,WGS,252,227306520,PRJEB15516,SAMEA4465577,74634237,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR062_DD,ERC000011,2016-09-29,2018-11-16,ERX1730237,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR062_DD,PAIRED,RANDOM,GENOMIC,227,71,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465577,ERS1364756,ERS1364756,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659921,52VHR064_DD,WGS,252,278065116,PRJEB15516,SAMEA4465579,91349298,UNIVERSITY OF OSLO,public,"fastq,sra,contigs","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",VHR064_DD,ERC000011,2016-09-29,2018-11-16,ERX1730239,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,VHR064_DD,PAIRED,RANDOM,GENOMIC,278,87,Equus caballus,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465579,ERS1364758,ERS1364758,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
